Concept2 Utility - Version 6.992,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Log Data for:,Savage,,,,,,,,,,,,,,,,,
,,,,,Total Workout Results,,,,Split or Work Interval Results,,,,Results Calculated by Formulas,,,Interval Rest Results,,
,Name,Date,Time of Day,Workout Name,Time,Meters,Avg SPM,Avg Heart Rate,Time,Meters,SPM,Heart Rate,/500m,Cal/hr,Watt,Time,Meters,Heart Rate
,,,,,,,,,,,,,,,,,,
,Savage,8/16/15,20:21,0:31:59,31:59.8,7754,25,0,,,,,02:03.7,934,184,,,
,Savage,8/16/15,20:21,0:31:59,,,,,05:00.0,1216,25,0,02:03.3,941,186,,,
,Savage,8/16/15,20:21,0:31:59,,,,,10:00.0,1226,25,0,02:02.3,957,191,,,
,Savage,8/16/15,20:21,0:31:59,,,,,15:00.0,1221,26,0,02:02.8,949,189,,,
,Savage,8/16/15,20:21,0:31:59,,,,,20:00.0,1212,25,0,02:03.7,935,185,,,
,Savage,8/16/15,20:21,0:31:59,,,,,25:00.0,1183,25,0,02:06.7,890,172,,,
,Savage,8/16/15,20:21,0:31:59,,,,,30:00.0,1224,26,0,02:02.5,954,190,,,
,Savage,8/16/15,20:21,0:31:59,,,,,31:59.8,473,26,0,02:06.6,893,172,,,
,,,,,,,,,,,,,,,,,,
,Savage,3/30/15,21:07,0:14:21,14:21.9,3472,24,0,,,,,02:04.1,929,183,,,
,Savage,3/30/15,21:07,0:14:21,,,,,05:00.0,1219,24,0,02:03.0,946,188,,,
,Savage,3/30/15,21:07,0:14:21,,,,,10:00.0,1212,24,0,02:03.7,935,185,,,
,Savage,3/30/15,21:07,0:14:21,,,,,14:21.9,1041,24,0,02:05.7,905,176,,,
,,,,,,,,,,,,,,,,,,
,Savage,2/6/15,17:00,0:01:24,01:24.1,119,19,0,,,,,05:53.3,327,8,,,
,Savage,2/6/15,17:00,0:01:24,,,,,01:24.1,119,19,0,05:53.3,327,8,,,
,,,,,,,,,,,,,,,,,,
,Savage,1/17/15,9:27,0:01:57,01:57.6,247,17,0,,,,,03:58.0,389,26,,,
,Savage,1/17/15,9:27,0:01:57,,,,,01:57.6,248,17,0,03:57.0,390,26,,,
,,,,,,,,,,,,,,,,,,
,Savage,1/17/15,9:23,1:05:22,1:05:22,16052,24,0,,,,,02:02.1,960,192,,,
,Savage,1/17/15,9:23,1:05:22,,,,,10:00.0,2473,25,0,02:01.3,974,196,,,
,Savage,1/17/15,9:23,1:05:22,,,,,20:00.0,2428,25,0,02:03.5,938,186,,,
,Savage,1/17/15,9:23,1:05:22,,,,,30:00.0,2448,24,0,02:02.5,954,190,,,
,Savage,1/17/15,9:23,1:05:22,,,,,40:00.0,2453,24,0,02:02.2,958,191,,,
,Savage,1/17/15,9:23,1:05:22,,,,,50:00.0,2452,24,0,02:02.3,957,191,,,
,Savage,1/17/15,9:23,1:05:22,,,,,1:00:00,2445,24,0,02:02.6,952,189,,,
,Savage,1/17/15,9:23,1:05:22,,,,,1:05:22,1355,24,0,01:58.8,1017,208,,,
,,,,,,,,,,,,,,,,,,
,Savage,1/12/15,12:45,0:01:02,01:02.3,112,17,0,,,,,04:38.1,355,16,,,
